,abstract
222,"Optical Character Recognition (OCR) is one of the important fields in image
processing and pattern recognition domain. Handwritten character recognition
has always been a challenging task. Only a little work can be traced towards
the recognition of handwritten characters for the south Indian languages.
Kannada is one such south Indian language which is also one of the official
language of India. Accurate recognition of Kannada characters is a challenging
task because of the high degree of similarity between the characters. Hence,
good quality features are to be extracted and better classifiers are needed to
improve the accuracy of the OCR for Kannada characters. This paper explores the
effectiveness of feature extraction method like run length count (RLC) and
directional chain code (DCC) for the recognition of handwritten Kannada
numerals. In this paper, a classifier fusion method is implemented to improve
the recognition rate. For the classifier fusion, we have considered K-nearest
neighbour (KNN) and Linear classifier (LC). The novelty of this method is to
achieve better accuracy with few features using classifier fusion approach.
Proposed method achieves an average recognition rate of 96%.Comment: 6 pages having 3 tables and 9 figures. Published in ICECT 2012
  conferenc"
223,"This is the author's accepted manuscript. The final published article is available from the link below. Copyright @ 2012 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other users, including reprinting/ republishing this material for advertising or promotional purposes, creating new collective works for resale or redistribution to servers or lists, or reuse of any copyrighted components of this work in other works.In this paper, we present a novel and efficient gait recognition system. The proposed system uses two novel gait representations, i.e., the shifted energy image and the gait structural profile, which have increased robustness to some classes of structural variations. Furthermore, we introduce a novel method for the simulation of walking conditions and the generation of artificial subjects that are used for the application of linear discriminant analysis. In the decision stage, the two representations are fused. Thorough experimental evaluation, conducted using one traditional and two new databases, demonstrates the advantages of the proposed system in comparison with current state-of-the-art systems"
224,"In this paper, we propose a novel image set representation and classification
method by maximizing the margin of image sets. The margin of an image set is
defined as the difference of the distance to its nearest image set from
different classes and the distance to its nearest image set of the same class.
By modeling the image sets by using both their image samples and their affine
hull models, and maximizing the margins of the images sets, the image set
representation parameter learning problem is formulated as an minimization
problem, which is further optimized by an expectation -maximization (EM)
strategy with accelerated proximal gradient (APG) optimization in an iterative
algorithm. To classify a given test image set, we assign it to the class which
could provide the largest margin. Experiments on two applications of
video-sequence-based face recognition demonstrate that the proposed method
significantly outperforms state-of-the-art image set classification methods in
terms of both effectiveness and efficiency"
225,"Skin recognition is used in many applications ranging from algorithms for
face detection, hand gesture analysis, and to objectionable image filtering. In
this work a skin recognition system was developed and tested. While many skin
segmentation algorithms relay on skin color, our work relies on both skin color
and texture features (features derives from the GLCM) to give a better and more
efficient recognition accuracy of skin textures. We used feed forward neural
networks to classify input textures images to be skin or non skin textures. The
system gave very encouraging results during the neural network generalization
face.Comment: 4 pages, 6 figures, conference ACIT 2008, Tunisi"
226,"Face verification and recognition problems have seen rapid progress in recent
years, however recognition from small size images remains a challenging task
that is inherently intertwined with the task of face super-resolution. Tackling
this problem using multiple frames is an attractive idea, yet requires solving
the alignment problem that is also challenging for low-resolution faces. Here
we present a holistic system for multi-frame recognition, alignment, and
superresolution of faces. Our neural network architecture restores the central
frame of each input sequence additionally taking into account a number of
adjacent frames and making use of sub-pixel movements. We present our results
using the popular dataset for video face recognition (YouTube Faces). We show a
notable improvement of identification score compared to several baselines
including the one based on single-image super-resolution"
227,"The sparse, hierarchical, and modular processing of natural signals is
related to the ability of humans to recognize objects with high accuracy. In
this study, we report a sparse feature processing and encoding method, which
improved the recognition performance of an automated object recognition system.
Randomly distributed localized gradient enhanced features were selected before
employing aggregate functions for representation, where we used a modular and
hierarchical approach to detect the object features. These object features were
combined with a minimum distance classifier, thereby obtaining object
recognition system accuracies of 93% using the Amsterdam library of object
images (ALOI) database, 92% using the Columbia object image library (COIL)-100
database, and 69% using the PASCAL visual object challenge 2007 database. The
object recognition performance was shown to be robust to variations in noise,
object scaling, and object shifts. Finally, a comparison with eight existing
object recognition methods indicated that our new method improved the
recognition accuracy by 10% with ALOI, 8% with the COIL-100 database, and 10%
with the PASCAL visual object challenge 2007 database.Comment: Pages 1"
228,"Human motion recognition is one of the most important branches of
human-centered research activities. In recent years, motion recognition based
on RGB-D data has attracted much attention. Along with the development in
artificial intelligence, deep learning techniques have gained remarkable
success in computer vision. In particular, convolutional neural networks (CNN)
have achieved great success for image-based tasks, and recurrent neural
networks (RNN) are renowned for sequence-based problems. Specifically, deep
learning methods based on the CNN and RNN architectures have been adopted for
motion recognition using RGB-D data. In this paper, a detailed overview of
recent advances in RGB-D-based motion recognition is presented. The reviewed
methods are broadly categorized into four groups, depending on the modality
adopted for recognition: RGB-based, depth-based, skeleton-based and
RGB+D-based. As a survey focused on the application of deep learning to
RGB-D-based motion recognition, we explicitly discuss the advantages and
limitations of existing techniques. Particularly, we highlighted the methods of
encoding spatial-temporal-structural information inherent in video sequence,
and discuss potential directions for future research"
229,"The basic scheme for automated holographic analysis involves an optical system for reconstruction of the three dimensional real image of the droplet field, a spatial scanning system to transport a digitizing X-y image sensor through the real image, and processing algorithms for droplet recognition which establish the droplet sizes and positions. The hardware for system demonstrated includes the expanded and collimated beam from a 5 mW helium-neon laser for hologram reconstruction, an imaging lens for magnification of the real image field, and a video camera and digitizer providing 512-by-512 pixel resolution with 8-bit digitization. A mechanical stage is used to scan the hologram in three dimensional space, maintaining constant image magnification. A test droplet hologram is used for development and testing of the image processing algorithms"
230,"Active Appearance Model (AAM) is a commonly used method for facial image
analysis with applications in face identification and facial expression
recognition. This paper proposes a new approach based on image alignment for
AAM fitting called bidirectional warping. Previous approaches warp either the
input image or the appearance template. We propose to warp both the input
image, using incremental update by an affine transformation, and the appearance
template, using an inverse compositional approach. Our experimental results on
Multi-PIE face database show that the bidirectional approach outperforms
state-of-the-art inverse compositional fitting approaches in extracting
landmark points of faces with shape and pose variations"
231,"Image super-resolution is a process to enhance image resolution. It is widely
used in medical imaging, satellite imaging, target recognition, etc. In this
paper, we conduct continuous modeling and assume that the unknown image
intensity function is defined on a continuous domain and belongs to a space
with a redundant basis. We propose a new iterative model for single image
super-resolution based on an observation: an image is consisted of smooth
components and non-smooth components, and we use two classes of approximated
Heaviside functions (AHFs) to represent them respectively. Due to sparsity of
the non-smooth components, a $L_{1}$ model is employed. In addition, we apply
the proposed iterative model to image patches to reduce computation and
storage. Comparisons with some existing competitive methods show the
effectiveness of the proposed method"
232,"Approaches to goal recognition have progressively relaxed the requirements
about the amount of domain knowledge and available observations, yielding
accurate and efficient algorithms capable of recognizing goals. However, to
recognize goals in raw data, recent approaches require either human engineered
domain knowledge, or samples of behavior that account for almost all actions
being observed to infer possible goals. This is clearly too strong a
requirement for real-world applications of goal recognition, and we develop an
approach that leverages advances in recurrent neural networks to perform goal
recognition as a classification task, using encoded plan traces for training.
We empirically evaluate our approach against the state-of-the-art in goal
recognition with image-based domains, and discuss under which conditions our
approach is superior to previous ones.Comment: Added/Fixed some reference"
233,This work describes the process of face synthesis by image morphing from less expensive 3D sensors such as KINECT that are prone to sensor noise. Its main aim is to create a useful face database for future face recognition studies.Peer reviewe
234,"Deep neural networks have recently achieved tremendous success in image
classification. Recent studies have however shown that they are easily misled
into incorrect classification decisions by adversarial examples. Adversaries
can even craft attacks by querying the model in black-box settings, where no
information about the model is released except its final decision. Such
decision-based attacks usually require lots of queries, while real-world image
recognition systems might actually restrict the number of queries. In this
paper, we propose qFool, a novel decision-based attack algorithm that can
generate adversarial examples using a small number of queries. The qFool method
can drastically reduce the number of queries compared to previous
decision-based attacks while reaching the same quality of adversarial examples.
We also enhance our method by constraining adversarial perturbations in
low-frequency subspace, which can make qFool even more computationally
efficient. Altogether, we manage to fool commercial image recognition systems
with a small number of queries, which demonstrates the actual effectiveness of
our new algorithm in practice"
235,"High resolution satellite image sequences are multidimensional signals
composed of spatio-temporal patterns associated to numerous and various
phenomena. Bayesian methods have been previously proposed in (Heas and Datcu,
2005) to code the information contained in satellite image sequences in a graph
representation using Bayesian methods. Based on such a representation, this
paper further presents a supervised learning methodology of semantics
associated to spatio-temporal patterns occurring in satellite image sequences.
It enables the recognition and the probabilistic retrieval of similar events.
Indeed, graphs are attached to statistical models for spatio-temporal
processes, which at their turn describe physical changes in the observed scene.
Therefore, we adjust a parametric model evaluating similarity types between
graph patterns in order to represent user-specific semantics attached to
spatio-temporal phenomena. The learning step is performed by the incremental
definition of similarity types via user-provided spatio-temporal pattern
examples attached to positive or/and negative semantics. From these examples,
probabilities are inferred using a Bayesian network and a Dirichlet model. This
enables to links user interest to a specific similarity model between graph
patterns. According to the current state of learning, semantic posterior
probabilities are updated for all possible graph patterns so that similar
spatio-temporal phenomena can be recognized and retrieved from the image
sequence. Few experiments performed on a multi-spectral SPOT image sequence
illustrate the proposed spatio-temporal recognition method"
236,"The goal of the present study is to explore the application of deep
convolutional network features to emotion recognition. Results indicate that
they perform similarly to other published models at a best recognition rate of
94.4%, and do so with a single still image rather than a video stream. An
implementation of an affective feedback game is also described, where a
classifier using these features tracks the facial expressions of a player in
real-time.Comment: 6 pages, 8 figures, IEEE styl"
237,"Although deep convolutional neural networks (CNNs) have achieved great
success in computer vision tasks, its real-world application is still impeded
by its voracious demand of computational resources. Current works mostly seek
to compress the network by reducing its parameters or parameter-incurred
computation, neglecting the influence of the input image on the system
complexity. Based on the fact that input images of a CNN contain substantial
redundancy, in this paper, we propose a unified framework, dubbed as ThumbNet,
to simultaneously accelerate and compress CNN models by enabling them to infer
on one thumbnail image. We provide three effective strategies to train
ThumbNet. In doing so, ThumbNet learns an inference network that performs
equally well on small images as the original-input network on large images.
With ThumbNet, not only do we obtain the thumbnail-input inference network that
can drastically reduce computation and memory requirements, but also we obtain
an image downscaler that can generate thumbnail images for generic
classification tasks. Extensive experiments show the effectiveness of ThumbNet,
and demonstrate that the thumbnail-input inference network learned by ThumbNet
can adequately retain the accuracy of the original-input network even when the
input images are downscaled 16 times"
238,"Image Processing, Optimization and Prediction of an Image play a key role in
Computer Science. Image processing provides a way to analyze and identify an
image .Many areas like medical image processing, Satellite images, natural
images and artificial images requires lots of analysis and research on
optimization. In Image Optimization and Prediction we are combining the
features of Query Optimization, Image Processing and Prediction . Image
optimization is used in Pattern analysis, object recognition, in medical Image
processing to predict the type of diseases, in satellite images for predicting
weather forecast, availability of water or mineral etc. Image Processing,
Optimization and analysis is a wide open area for research .Lots of research
has been conducted in the area of Image analysis and many techniques are
available for image analysis but, a single technique is not yet identified for
image analysis and prediction .our research is focused on identifying a global
technique for image analysis and Prediction.Comment: Pages: 08 Figures: 02, Proceedings of International Conferences
  CAAM-09 BITS, Durg, India, 10 Jan 200"
239,"The automatic recognition of sound events by computers is an important aspect of emerging applications such as automated surveillance, machine hearing and auditory scene understanding. Recent advances in machine learning, as well as in computational models of the human auditory system, have contributed to advances in this increasingly popular research field. Robust sound event classification, the ability to recognise sounds under real-world noisy conditions, is an especially challenging task. Classification methods translated from the speech recognition domain, using features such as mel-frequency cepstral coefficients, have been shown to perform reasonably well for the sound event classification task, although spectrogram-based or auditory image analysis techniques reportedly achieve superior performance in noise.

This paper outlines a sound event classification framework that compares auditory image front end features with spectrogram image-based front end features, using support vector machine and deep neural network classifiers. Performance is evaluated on a standard robust classification task in different levels of corrupting noise, and with several system enhancements, and shown to compare very well with current state-of-the-art classification techniques"
240,"The topic of semantic segmentation has witnessed considerable progress due to
the powerful features learned by convolutional neural networks (CNNs). The
current leading approaches for semantic segmentation exploit shape information
by extracting CNN features from masked image regions. This strategy introduces
artificial boundaries on the images and may impact the quality of the extracted
features. Besides, the operations on the raw image domain require to compute
thousands of networks on a single image, which is time-consuming. In this
paper, we propose to exploit shape information via masking convolutional
features. The proposal segments (e.g., super-pixels) are treated as masks on
the convolutional feature maps. The CNN features of segments are directly
masked out from these maps and used to train classifiers for recognition. We
further propose a joint method to handle objects and ""stuff"" (e.g., grass, sky,
water) in the same framework. State-of-the-art results are demonstrated on
benchmarks of PASCAL VOC and new PASCAL-CONTEXT, with a compelling
computational speed.Comment: IEEE Conference on Computer Vision and Pattern Recognition (CVPR),
  201"
241,"Printed text recognition is an important problem for industrial OCR systems.
Printed text is constructed in a standard procedural fashion in most settings.
We develop a mathematical model for this process that can be applied to the
backward inference problem of text recognition from an image. Through ablation
experiments we show that this model is realistic and that a multi-task
objective setting can help to stabilize estimation of its free parameters,
enabling use of conventional deep learning methods. Furthermore, by directly
modeling the geometric perturbations of text synthesis we show that our model
can help recover missing characters from incomplete text regions, the bane of
multicomponent OCR systems, enabling recognition even when the detection
returns incomplete information"
242,"The problem of domain generalization is to take knowledge acquired from a
number of related domains where training data is available, and to then
successfully apply it to previously unseen domains. We propose a new feature
learning algorithm, Multi-Task Autoencoder (MTAE), that provides good
generalization performance for cross-domain object recognition.
  Our algorithm extends the standard denoising autoencoder framework by
substituting artificially induced corruption with naturally occurring
inter-domain variability in the appearance of objects. Instead of
reconstructing images from noisy versions, MTAE learns to transform the
original image into analogs in multiple related domains. It thereby learns
features that are robust to variations across domains. The learnt features are
then used as inputs to a classifier.
  We evaluated the performance of the algorithm on benchmark image recognition
datasets, where the task is to learn features from multiple datasets and to
then predict the image label from unseen datasets. We found that (denoising)
MTAE outperforms alternative autoencoder-based models as well as the current
state-of-the-art algorithms for domain generalization.Comment: accepted in ICCV 201"
243,"Deep learning using convolutional neural networks (CNNs) is quickly becoming
the state-of-the-art for challenging computer vision applications. However,
deep learning's power consumption and bandwidth requirements currently limit
its application in embedded and mobile systems with tight energy budgets. In
this paper, we explore the energy savings of optically computing the first
layer of CNNs. To do so, we utilize bio-inspired Angle Sensitive Pixels (ASPs),
custom CMOS diffractive image sensors which act similar to Gabor filter banks
in the V1 layer of the human visual cortex. ASPs replace both image sensing and
the first layer of a conventional CNN by directly performing optical edge
filtering, saving sensing energy, data bandwidth, and CNN FLOPS to compute. Our
experimental results (both on synthetic data and a hardware prototype) for a
variety of vision tasks such as digit recognition, object recognition, and face
identification demonstrate using ASPs while achieving similar performance
compared to traditional deep learning pipelines.Comment: Presented in CVPR 2016 (oral), 10 pages, 12 figures. This new version
  corrects the comparison between imaging power for ASPs and a regular image
  senso"
244,"Recognition across domains has recently become an active topic in the
research community. However, it has been largely overlooked in the problem of
recognition in new unseen domains. Under this condition, the delivered deep
network models are unable to be updated, adapted, or fine-tuned. Therefore,
recent deep learning techniques, such as domain adaptation, feature
transferring, and fine-tuning, cannot be applied. This paper presents a novel
approach to the problem of domain generalization in the context of deep
learning. The proposed method is evaluated on different datasets in various
problems, i.e. (i) digit recognition on MNIST, SVHN, and MNIST-M, (ii) face
recognition on Extended Yale-B, CMU-PIE and CMU-MPIE, and (iii) pedestrian
recognition on RGB and Thermal image datasets. The experimental results show
that our proposed method consistently improves performance accuracy. It can
also be easily incorporated with any other CNN frameworks within an end-to-end
deep network design for object detection and recognition problems to improve
their performance.Comment: Accepted to Computer and Robot Vision 2020. arXiv admin note:
  substantial text overlap with arXiv:1812.0340"
245,"In a real-world setting, visual recognition systems can be brought to make
predictions for images belonging to previously unknown class labels. In order
to make semantically meaningful predictions for such inputs, we propose a
two-step approach that utilizes information from knowledge graphs. First, a
knowledge-graph representation is learned to embed a large set of entities into
a semantic space. Second, an image representation is learned to embed images
into the same space. Under this setup, we are able to predict structured
properties in the form of relationship triples for any open-world image. This
is true even when a set of labels has been omitted from the training protocols
of both the knowledge graph and image embeddings. Furthermore, we append this
learning framework with appropriate smoothness constraints and show how prior
knowledge can be incorporated into the model. Both these improvements combined
increase performance for visual recognition by a factor of six compared to our
baseline. Finally, we propose a new, extended dataset which we use for
experiments"
246,"Fingerprint recognition has drawn a lot of attention during last decades.
Different features and algorithms have been used for fingerprint recognition in
the past. In this paper, a powerful image representation called scattering
transform/network, is used for recognition. Scattering network is a
convolutional network where its architecture and filters are predefined wavelet
transforms. The first layer of scattering representation is similar to sift
descriptors and the higher layers capture higher frequency content of the
signal. After extraction of scattering features, their dimensionality is
reduced by applying principal component analysis (PCA). At the end, multi-class
SVM is used to perform template matching for the recognition task. The proposed
scheme is tested on a well-known fingerprint database and has shown promising
results with the best accuracy rate of 98\%.Comment: IEEE Signal Processing in Medicine and Biology Symposium, 201"
247,"Biometric time and attendance system is one of the most successful
applications of biometric technology. One of the main advantage of a biometric
time and attendance system is it avoids ""buddy-punching"". Buddy punching was a
major loophole which will be exploiting in the traditional time attendance
systems. Fingerprint recognition is an established field today, but still
identifying individual from a set of enrolled fingerprints is a time taking
process. Most fingerprint-based biometric systems store the minutiae template
of a user in the database. It has been traditionally assumed that the minutiae
template of a user does not reveal any information about the original
fingerprint. This belief has now been shown to be false; several algorithms
have been proposed that can reconstruct fingerprint images from minutiae
templates. In this paper, a novel fingerprint reconstruction algorithm is
proposed to reconstruct the phase image, which is then converted into the
grayscale image. The proposed reconstruction algorithm reconstructs the phase
image from minutiae. The proposed reconstruction algorithm is used to automate
the whole process of taking attendance, manually which is a laborious and
troublesome work and waste a lot of time, with its managing and maintaining the
records for a period of time is also a burdensome task. The proposed
reconstruction algorithm has been evaluated with respect to the success rates
of type-I attack (match the reconstructed fingerprint against the original
fingerprint) and type-II attack (match the reconstructed fingerprint against
different impressions of the original fingerprint) using a commercial
fingerprint recognition system. Given the reconstructed image from our
algorithm, we show that both types of attacks can be effectively launched
against a fingerprint recognition system.Comment: 6pages,5figure"
248,"Attention-based learning for fine-grained image recognition remains a
challenging task, where most of the existing methods treat each object part in
isolation, while neglecting the correlations among them. In addition, the
multi-stage or multi-scale mechanisms involved make the existing methods less
efficient and hard to be trained end-to-end. In this paper, we propose a novel
attention-based convolutional neural network (CNN) which regulates multiple
object parts among different input images. Our method first learns multiple
attention region features of each input image through the one-squeeze
multi-excitation (OSME) module, and then apply the multi-attention multi-class
constraint (MAMC) in a metric learning framework. For each anchor feature, the
MAMC functions by pulling same-attention same-class features closer, while
pushing different-attention or different-class features away. Our method can be
easily trained end-to-end, and is highly efficient which requires only one
training stage. Moreover, we introduce Dogs-in-the-Wild, a comprehensive dog
species dataset that surpasses similar existing datasets by category coverage,
data volume and annotation quality. This dataset will be released upon
acceptance to facilitate the research of fine-grained image recognition.
Extensive experiments are conducted to show the substantial improvements of our
method on four benchmark datasets"
249,"Gesture recognition is a hot topic in computer vision and pattern
recognition, which plays a vitally important role in natural human-computer
interface. Although great progress has been made recently, fast and robust hand
gesture recognition remains an open problem, since the existing methods have
not well balanced the performance and the efficiency simultaneously. To bridge
it, this work combines image entropy and density clustering to exploit the key
frames from hand gesture video for further feature extraction, which can
improve the efficiency of recognition. Moreover, a feature fusion strategy is
also proposed to further improve feature representation, which elevates the
performance of recognition. To validate our approach in a ""wild"" environment,
we also introduce two new datasets called HandGesture and Action3D datasets.
Experiments consistently demonstrate that our strategy achieves competitive
results on Northwestern University, Cambridge, HandGesture and Action3D hand
gesture datasets. Our code and datasets will release at
https://github.com/Ha0Tang/HandGestureRecognition.Comment: 11 pages, 3 figures, accepted to NeuroComputin"
250,"AbstractIn order to get better image processing and target recognition, this paper presents a fuzzy automata system to target recognition. The system first performs image processing, and then accomplishes the target recognition. The system consists of four parts: image preprocessing, feature extraction, target matching and experiment. Compared with existing approaches, this paper uses both global features and local features of the target image, and carries out target recognition by using a fuzzy automata system. Simulation results show that the correct recognition rate based on the fuzzy automata system for target recognition is higher at 94.59%, an improvement on an average of 29.24%, compared to other existing approaches. Finally, some directions for future research are described"
251,"In this work we present a framework for the recognition of natural scene
text. Our framework does not require any human-labelled data, and performs word
recognition on the whole image holistically, departing from the character based
recognition systems of the past. The deep neural network models at the centre
of this framework are trained solely on data produced by a synthetic text
generation engine -- synthetic data that is highly realistic and sufficient to
replace real data, giving us infinite amounts of training data. This excess of
data exposes new possibilities for word recognition models, and here we
consider three models, each one ""reading"" words in a different way: via 90k-way
dictionary encoding, character sequence encoding, and bag-of-N-grams encoding.
In the scenarios of language based and completely unconstrained text
recognition we greatly improve upon state-of-the-art performance on standard
datasets, using our fast, simple machinery and requiring zero data-acquisition
costs"
252,"Winograd convolution is widely used in deep neural networks (DNNs). Existing
work for DNNs considers only the subset Winograd algorithms that are equivalent
to Toom-Cook convolution. We investigate a wider range of Winograd algorithms
for DNNs and show that these additional algorithms can significantly improve
floating point (FP) accuracy in many cases. We present results for three FP
formats: fp32, fp16 and bf16 (a truncated form of fp32) using 2000 inputs from
the ImageNet dataset. We found that in fp16 this approach gives us up to 6.5
times better image recognition accuracy in one important case while maintaining
the same number of elementwise multiplication operations in the innermost loop.
In bf16 the convolution can be computed using 5% fewer innermost loop
multiplications than with currently used Winograd algorithms while keeping the
accuracy of image recognition the same as for direct convolution method"
253,"The complementary DNA (cDNA) sequence is considered to be the magic biometric
technique for personal identification. In this paper, we present a new method
for cDNA recognition based on the artificial neural network (ANN). Microarray
imaging is used for the concurrent identification of thousands of genes. We
have segmented the location of the spots in a cDNA microarray. Thus, a precise
localization and segmenting of a spot are essential to obtain a more accurate
intensity measurement, leading to a more precise expression measurement of a
gene. The segmented cDNA microarray image is resized and it is used as an input
for the proposed artificial neural network. For matching and recognition, we
have trained the artificial neural network. Recognition results are given for
the galleries of cDNA sequences . The numerical results show that, the proposed
matching technique is an effective in the cDNA sequences process. We also
compare our results with previous results and find out that, the proposed
technique is an effective matching performance.Comment: 17 pages, 7 figures and 23 Reference"
254,"Thanks to recent advances in deep neural networks (DNNs), face recognition
systems have become highly accurate in classifying a large number of face
images. However, recent studies have found that DNNs could be vulnerable to
adversarial examples, raising concerns about the robustness of such systems.
Adversarial examples that are not restricted to small perturbations could be
more serious since conventional certified defenses might be ineffective against
them. To shed light on the vulnerability to such adversarial examples, we
propose a flexible and efficient method for generating unrestricted adversarial
examples using image translation techniques. Our method enables us to translate
a source image into any desired facial appearance with large perturbations to
deceive target face recognition systems. Our experimental results indicate that
our method achieved about $90$ and $80\%$ attack success rates under white- and
black-box settings, respectively, and that the translated images are
perceptually realistic and maintain the identifiability of the individual while
the perturbations are large enough to bypass certified defenses.Comment: Kazuya Kakizaki and Kosuke Yoshida share equal contributions.
  Accepted at AAAI Workshop on Artificial Intelligence Safety (2020"
255,"In this paper, we introduce a new and challenging large-scale food image
dataset called ""ChineseFoodNet"", which aims to automatically recognizing
pictured Chinese dishes. Most of the existing food image datasets collected
food images either from recipe pictures or selfie. In our dataset, images of
each food category of our dataset consists of not only web recipe and menu
pictures but photos taken from real dishes, recipe and menu as well.
ChineseFoodNet contains over 180,000 food photos of 208 categories, with each
category covering a large variations in presentations of same Chinese food. We
present our efforts to build this large-scale image dataset, including food
category selection, data collection, and data clean and label, in particular
how to use machine learning methods to reduce manual labeling work that is an
expensive process. We share a detailed benchmark of several state-of-the-art
deep convolutional neural networks (CNNs) on ChineseFoodNet. We further propose
a novel two-step data fusion approach referred as ""TastyNet"", which combines
prediction results from different CNNs with voting method. Our proposed
approach achieves top-1 accuracies of 81.43% on the validation set and 81.55%
on the test set, respectively. The latest dataset is public available for
research and can be achieved at https://sites.google.com/view/chinesefoodnet.Comment: 8 pages, 5 figure, 2 table"
256,"In this paper, we address the problem of landmark-based visual place
recognition. In the state-of-the-art method, accurate object proposal
algorithms are first leveraged for generating a set of local regions containing
particular landmarks with high confidence. Then, these candidate regions are
represented by deep features and pairwise matching is performed in an
exhaustive manner for the similarity measure. Despite its success, conventional
object proposal methods usually produce massive landmark-dependent image
patches exhibiting significant distribution variance in scale and overlap. As a
result, the inconsistency in landmark distributions tends to produce biased
similarity between pairwise images yielding the suboptimal performance. In
order to gain an insight into the landmark-based place recognition scheme, we
conduct a comprehensive study in which the influence of landmark scales and the
proportion of overlap on the recognition performance is explored. More
specifically, we thoroughly study the exhaustive search based landmark matching
mechanism, and thus derive three-fold important observations in terms of the
beneficial effect of specific landmark generation strategies. Inspired by the
above observations, a simple yet effective dense sampling based scheme is
presented for accurate place recognition in this paper. Different from the
conventional object proposal strategy, we generate local landmarks of multiple
scales with uniform distribution from entire image by dense sampling, and
subsequently perform multi-scale fusion on the densely sampled landmarks for
similarity measure. The experimental results on three challenging datasets
demonstrate that the recognition performance can be significantly improved by
our efficient method in which the landmarks are appropriately produced for
accurate pairwise matching"
257,"At the present time, hand gestures recognition system could be used as a more
expected and useable approach for human computer interaction. Automatic hand
gesture recognition system provides us a new tactic for interactive with the
virtual environment. In this paper, a face and hand gesture recognition system
which is able to control computer media player is offered. Hand gesture and
human face are the key element to interact with the smart system. We used the
face recognition scheme for viewer verification and the hand gesture
recognition in mechanism of computer media player, for instance, volume
down/up, next music and etc. In the proposed technique, first, the hand gesture
and face location is extracted from the main image by combination of skin and
cascade detector and then is sent to recognition stage. In recognition stage,
first, the threshold condition is inspected then the extracted face and gesture
will be recognized. In the result stage, the proposed technique is applied on
the video dataset and the high precision ratio acquired. Additional the
recommended hand gesture recognition method is applied on static American Sign
Language (ASL) database and the correctness rate achieved nearby 99.40%. also
the planned method could be used in gesture based computer games and virtual
reality"
258,"ColorCheckers are reference standards that professional photographers and
filmmakers use to ensure predictable results under every lighting condition.
The objective of this work is to propose a new fast and robust method for
automatic ColorChecker detection. The process is divided into two steps: (1)
ColorCheckers localization and (2) ColorChecker patches recognition. For the
ColorChecker localization, we trained a detection convolutional neural network
using synthetic images. The synthetic images are created with the 3D models of
the ColorChecker and different background images. The output of the neural
networks are the bounding box of each possible ColorChecker candidates in the
input image. Each bounding box defines a cropped image which is evaluated by a
recognition system, and each image is canonized with regards to color and
dimensions. Subsequently, all possible color patches are extracted and grouped
with respect to the center's distance. Each group is evaluated as a candidate
for a ColorChecker part, and its position in the scene is estimated. Finally, a
cost function is applied to evaluate the accuracy of the estimation. The method
is tested using real and synthetic images. The proposed method is fast, robust
to overlaps and invariant to affine projections. The algorithm also performs
well in case of multiple ColorCheckers detection.Comment: Submitted to Image and Vision Computin"
259,"Images may have elements containing text and a bounding box associated with
them, for example, text identified via optical character recognition on a
computer screen image, or a natural image with labeled objects. We present an
end-to-end trainable architecture to incorporate the information from these
elements and the image to segment/identify the part of the image a natural
language expression is referring to. We calculate an embedding for each element
and then project it onto the corresponding location (i.e., the associated
bounding box) of the image feature map. We show that this architecture gives an
improvement in resolving referring expressions, over only using the image, and
other methods that incorporate the element information. We demonstrate
experimental results on the referring expression datasets based on COCO, and on
a webpage image referring expression dataset that we developed.Comment: Accepted into IEEE SLT Worksho"
260,"When we are faced with challenging image classification tasks, we often
explain our reasoning by dissecting the image, and pointing out prototypical
aspects of one class or another. The mounting evidence for each of the classes
helps us make our final decision. In this work, we introduce a deep network
architecture -- prototypical part network (ProtoPNet), that reasons in a
similar way: the network dissects the image by finding prototypical parts, and
combines evidence from the prototypes to make a final classification. The model
thus reasons in a way that is qualitatively similar to the way ornithologists,
physicians, and others would explain to people on how to solve challenging
image classification tasks. The network uses only image-level labels for
training without any annotations for parts of images. We demonstrate our method
on the CUB-200-2011 dataset and the Stanford Cars dataset. Our experiments show
that ProtoPNet can achieve comparable accuracy with its analogous
non-interpretable counterpart, and when several ProtoPNets are combined into a
larger network, it can achieve an accuracy that is on par with some of the
best-performing deep models. Moreover, ProtoPNet provides a level of
interpretability that is absent in other interpretable deep models.Comment: Chaofan Chen and Oscar Li contributed equally to this work. This work
  has been accepted for spotlight presentation (top 3% of papers) at NeurIPS
  201"
